ID,SerialCommand
1,"{""cmd"":""DEVICEINFO"",""action"":""get"",""key"":""sw_ver""}"
2,"{""cmd"":""DEVICEINFO"",""action"":""get"",""key"":""hw_ver""}"
3,"{""cmd"":""DEVICEINFO"",""action"":""get"",""key"":""SN""}"
4,"{""cmd"":""DEVICEINFO"",""action"":""get"",""key"":""ble_Mac""}"
5,"{""cmd"":""DEVICEINFO"",""action"":""get"",""key"":""dev_mode""}"
6,"{""cmd"":""STATUSLED"",""action"":""on"",""led_id"":""red""}"
7,"{""cmd"":""STATUSLED"",""action"":""off"",""led_id"":""red""}"
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
